"Project","Deliverables","Planned.Start","Planned.End","Actual.Start","Actual.End","Completion"
"Enabling Compliance and Enforcement Program Delivery","Pre-build activities - JIRA: Controlled Substances",2019-03-11,2019-04-01,,,0
"ROEB Aging IT (Stabilization/Modernization/Transformation)","Windows 2008 server migration",2018-07-15,2018-12-31,2018-08-06,,60
"ROEB Aging IT (Stabilization/Modernization/Transformation)","Decommission applications2018-04-01",2019-03-31,,,,
"ROEB Aging IT (Stabilization/Modernization/Transformation)","APM Update for Business Applications",2018-11-01,2018-11-13,2018-11-01,,15
"Drug and Health Product Inspections Database","Cloud Environment",2018-05-15,2019-03-31,2018-05-15,,50
"Drug and Health Product Inspections Database","Enhancement Phase 1",2018-04-01,2019-03-31,2018-04-01,,80
"Drug and Health Product Inspections Database","API (GMP, GVP, Blood)",2018-04-01,2019-03-31,2018-06-01,,80
"Drug and Health Product Inspections Database","API (MD, CT, CTO, DS)",2018-11-26,2019-03-31,2018-11-26,,40
"Modernizing the ROEB Employee eToolkit","Smartphones for MDIU pilot group to replace BB Leaps, where requested (20)",2018-08-17,2018-09-30,2018-08-27,2018-09-17,100
"Modernizing the ROEB Employee eToolkit","Training for MDIU Pilot group",2018-05-01,2018-05-30,2018-05-24,2018-05-24,100
"Modernizing the ROEB Employee eToolkit","Survey MDIU pilot group for feedback on devices and training",2018-07-01,2018-09-01,2018-07-01,2018-09-01,100
"Modernizing the ROEB Employee eToolkit","Aquire tablets/smartphones (ROEB)",2018-07-15,2019-03-31,2018-07-30,,85
"Modernizing the ROEB Employee eToolkit","Mobile Technology Training (ROEB)",2018-10-31,2019-03-31,2018-10-31,,75
"Modernizing the ROEB Employee eToolkit","Virtual Workstation Pilot (HPC, TVC)",2018-10-31,2018-12-31,2018-10-31,,25
"Modernizing the ROEB Employee eToolkit","E-Post connect onboarding and training (ROEB)",2018-04-01,2019-02-28,2018-04-01,2019-02-28,100
"Modernizing the ROEB Employee eToolkit","Smartpen Pilot (CSP)",2019-01-01,2019-06-30,2019-01-15,,10
"Border Compliance IT Modernization","Gate 3 planning & approval",2018-07-23,2018-10-15,2018-11-28,2019-02-21,100
"Border Compliance IT Modernization","Project Management Plan",2018-11-28,2019-01-15,2018-11-28,2019-01-31,100
"Border Compliance IT Modernization","Project Complexity and Risk Assessment",2018-11-28,2019-01-15,2018-11-28,2019-01-31,100
"Border Compliance IT Modernization","Refined Cost Estimates",2018-11-28,2019-01-15,2018-11-28,2019-02-08,100
"Border Compliance IT Modernization","High-level Functional Requirements",2018-11-28,2019-01-15,2018-11-28,2019-01-31,100
"Border Compliance IT Modernization","Security Documents (Statement of Sensitivity, Security Assessment and Authorization Report, Privacy Impact Assessment)",2018-11-28,2019-01-15,2018-11-28,2019-01-15,100
"Border Compliance IT Modernization","Gate 3 Deck",2018-01-15,2019-01-21,2019-01-15,2019-02-08,100
"Border Compliance IT Modernization","Sytem Procurement & Customization",,,,,0
"Quality Management System","Gate 2 - Project Initiation",,,,,0
"Quality Management System","HLBRD",2018-10-01,2018-11-18,2018-09-02,2019-01-15,100
"Quality Management System","Business Case / Project Charter / Project Schedule",2018-09-01,2019-01-11,2018-09-28,,85
"Quality Management System","Options analysis",2018-11-18,2019-03-01,2019-01-16,,0
"Quality Management System","IT Solution Recommendation",2019-01-11,2019-03-01,,,0
"Quality Management System","Pre-DG IP Review",2019-04-01,2019-04-01,,,0
"Quality Management System","Gate 2 DG-IP Recommendation",2019-04-01,2019-04-01,,,0
"Quality Management System","EC-FIPT Approval",2019-04-01,2019-04-01,,,0
"Quality Management System","Gate 3 - Project Planning",2019-04-01,2019-07-01,,,0
"Quality Management System","Gate 4 - Project Execution",2019-08-01,2020-06-01,,,0
"Quality Management System","Gate 5 - Project Close-Out",2020-06-01,2020-09-01,,,0
"GCdocs Project","Preparatory Phase",2018-05-01,2018-12-31,,,0
"GCdocs Project","Conduct an online scan for GCdocs information",2018-05-01,2018-12-31,2018-05-01,2018-12-31,100
"GCdocs Project","Develop RORB communication packages to raise awareness and promote training",2018-06-04,2018-11-30,2018-06-04,,80
"GCdocs Project","GCdocs training for TBI-IM staff",2018-07-03,2018-11-30,2018-07-03,,50
"GCdocs Project","Review Directorate RKAI’s for accuracy and completeness",2018-07-03,2018-08-31,2018-07-03,2018-09-28,100
"GCdocs Project","Develop RORB GCdocs support and issues management documents",2018-09-10,2018-12-31,2018-09-10,2019-01-14,100
"GCdocs Project","Mobilization Phase",2018-07-09,2019-01-31,,,0
"GCdocs Project","Establish high level folder structure of GCdocs (with BIMA)",2018-07-09,2018-08-31,2018-07-09,2019-01-10,100
"GCdocs Project","Establish GCdocs working group consisting of Directorate SMEs within ROEB",2018-08-01,2018-08-31,2018-08-01,2018-08-31,100
"GCdocs Project","Establish low level folder structure of GCdocs (with Branch SME working groups)",2018-09-10,2018-11-30,2018-10-11,2018-12-14,100
"GCdocs Project","Establish Branch membership (folder access) structure",2018-09-10,2018-11-30,2019-01-11,,0
"GCdocs Project","All staff training: GCdocs e-learning course GCdocs Fundamentals",2018-10-01,2019-01-31,2019-12-18,,0
"GCdocs Project","Validation of GCdocs folder structure and folder access",2018-11-19,2018-11-30,2019-01-11,,0
"GCdocs Project","Implementation Phase",2019-02-05,2019-02-26,,,0
"GCdocs Project","Participate in deploying GCdocs tool to ROEB workstations",2019-02-05,2019-02-12,,,0
"GCdocs Project","Execute support and issues management protocol",2019-02-05,2019-02-12,,,0
"GCdocs Project","All staff training: GCdocs e-learning course Unleash the Power of GCdocs",2019-02-12,2019-02-26,,,0
"DAS Modernization","Gate 1 Deck",2018-10-01,2018-11-01,2018-10-01,2019-01-10,100
"DAS Modernization","Process Mapping",2018-11-01,2018-12-01,2018-11-01,2019-01-11,100
"DAS Modernization","Costing",2018-10-01,2018-12-01,2018-10-01,,25
"DAS Modernization","Gate 1 Approval",2018-11-30,2018-11-30,2018-11-30,2019-01-11,100
"DAS Modernization","High Level Requirements",2018-11-01,2019-02-08,2019-01-14,,70
"DAS Modernization","Project Charter",2019-01-14,2019-01-25,2019-01-21,,90
"DAS Modernization","OA",2019-02-11,2019-03-15,2019-02-22,,10
"DAS Modernization","PCRA",2019-03-01,2019-03-08,2019-02-21,2019-02-21,100
"Cost Recovery","CR reports for HPIL",2018-10-29,2018-01-31,2018-10-29,,0
"Cost Recovery","Analysis and validation report of Table A data entry test",2018-10-29,2018-12-15,,,0
"Cost Recovery","Datasets for fee calculator",2018-10-29,2018-01-31,2018-10-29,,0
"Cost Recovery","Analysis and validation report of HPIL's new workflows",2018-10-29,2019-01-31,,,0
"Cost Recovery","Pause-the-Clock algorithm",2018-01-02,2019-03-31,,,0
"Project Cyclops","Environmental Scan",2018-11-15,2019-01-09,2018-11-15,2019-02-15,100
"Project Cyclops","Options Analysis for MVP",2019-01-09,2019-05-10,2019-02-15,2019-05-10,100
"Project Cyclops","Final Recommended on MVP Solution",2019-05-10,2019-06-03,2019-05-10,2019-06-03,100
"Gadget Phase I","Deliver proof of concept of initial proposed system",2018-05-01,2019-03-31,,,0
"Gadget Phase I","Construct initial project goals after collaboration with NRC",2018-06-15,2018-07-16,,,0
"Gadget Phase I","Create a minimum viable product mock up and build pipeline",2018-07-16,2018-08-17,,,0
"Gadget Phase I","Design a Domain Model, Basic process models, Enable HTTPS",2018-08-07,2018-08-17,,,0
"Gadget Phase I","Conceptualize MVP and create sample UI pages",2018-08-27,2018-09-07,,,0
"Gadget Phase I","Code Production",2018-10-08,2018-10-19,,,0
"Gadget Phase I","Design Template Deliverable from Graphics Designer",,,,,0
"Gadget Phase I","Cut Images from CSS Cutter",,,,,0
"Gadget Phase I","Add cut images into the template",,,,,0
"Hummingbird","Submit Solution Fund Stream I proposal",,2018-10-01,,,0
"Hummingbird","Gather Key Business Requirements and Features for MVP",,,,2019-01-25,100
"Hummingbird","Develop Feasibility Report",,2019-01-31,,,0
"Hummingbird","Initiate Options Analysis",,2019-02-28,,,0
"Hummingbird","Deliver feasibility and options report",,2019-03-31,,,0
"Project Cipher","Submit Solution Fund Stream I proposal",,2018-10-01,,,0
"Project Cipher","Gather Key Business Requirements and Features for MVP",,,,,0
"Project Cipher","Data Assessment",,2019-03-22,,,0
"Project Cipher","Text Mining and NLP Assessment",,2019-04-01,,,0
"Project Cipher","Machine Learning and AI Assessment",,2019-06-28,,,0
